id_CWEB,RA,Dec,mean_grades,median_grades,std_grades,tile_C3D_grizli,segment_id,z,f_Hb,e_Hb,f_O34960,e_O34960,f_O35008,e_O35008,mag_model_f444w,mag_err_model_f444w
451,149.840551356405,2.11494208735271,2.0,2.0,0.0,1.1,2498.0,7.158872416953170,5.08606452129012E-20,2.63039334519313E-19,3.10305581928214E-18,7.42870681734813E-19,6.93289615507556E-18,8.89471970569811E-19,26.0586353934921,0.059901913164679
2736,149.809834793174,2.14137659146266,2.25,2.0,0.433012701892219,1.2,5039.0,7.128831413016840,1.83170083910091E-19,5.11637081538003E-19,3.28786672226768E-18,7.8757975941166E-19,8.16247192016145E-18,9.37834326554494E-19,25.8165844565047,0.0435997284425894
3599,149.84732917328,2.13305560828932,2.0,2.0,0.0,1.2,5992.0,6.929359544977910,-99.0,-99.0,3.61070411543696E-18,8.97523391667963E-19,6.51202597400594E-18,9.55172819380085E-19,26.7428837963411,0.0888041894744884
5016,149.818947509257,2.15163962272071,1.5,1.5,0.5,1.2,7565.0,7.160432953179260,8.30670844513703E-19,1.07309864099719E-18,2.17250081937482E-18,1.26676272304308E-18,8.00438759032667E-18,1.52038191063046E-18,26.2333198899,0.133277766316501
6399,149.854523617935,2.14809183043586,2.75,3.0,0.433012701892219,1.2,9083.0,6.991666445178460,3.702116050013E-18,1.52077024977329E-18,9.01083833304884E-18,5.91329660498874E-19,2.28166415097471E-17,7.92231983911918E-19,24.723851353556,0.0718853421733072
6555,149.854506908127,2.14943267609877,2.6,3.0,0.489897948556636,1.2,9259.0,7.722188819369940,2.82094257855307E-18,7.36680409617382E-19,6.05183738363771E-18,7.77483991109991E-19,1.42714887551256E-17,9.32653782238837E-19,24.9327723166841,0.124344423067116
12922,149.8113284464,2.21108493399042,1.75,2.0,0.433012701892219,1.2,16472.0,6.863477181882000,-99.0,-99.0,2.15174129845062E-18,9.47426642641362E-19,8.21245979532616E-18,8.07580700367114E-19,25.8773215319754,0.0721591488142026
13219,149.815066270914,2.21213605148142,3.0,3.0,0.0,1.2,16801.0,6.864390942487100,-99.0,-99.0,1.59973175113695E-17,1.04707319660076E-18,4.28804351463035E-17,9.13763256038932E-19,24.610149906767,0.0665371614495821
13411,149.868057115315,2.1944396180037,1.75,2.0,0.433012701892219,1.2,17016.0,7.67740574396781,8.21820288934912E-19,5.97321344171074E-19,2.11765796325513E-18,7.96413471257066E-19,6.45431159322244E-18,9.3900671305026E-19,26.9689755703272,0.0986687884069261
15571,149.835675710535,2.22352273306326,1.25,1.5,0.82915619758885,1.2,19433.0,8.2938969730808,1.29732904350032E-18,8.31272449118508E-19,2.68554936902991E-18,9.08463268670248E-19,9.9950466408717E-18,1.13567925439072E-18,25.7503003221553,0.0525931784489653
17260,149.898409155945,2.21247248300217,2.25,2.0,0.433012701892219,1.2,21324.0,7.025363593763800,7.30490125545636E-19,7.36235713348253E-19,2.78054949120638E-18,6.58909572552117E-19,7.70807766292259E-18,8.70091614806226E-19,26.3627827509442,0.035439713883287
17633,149.830454217875,2.23958367037755,1.75,2.5,1.6393596310755,1.2,21749.0,7.269291008698220,6.97195396314779E-19,6.24766147657434E-19,4.84951185360035E-18,8.84367898854784E-19,1.25168323483263E-17,1.10004411616889E-18,25.5134196192512,0.0534805833169618
20081,149.824280421333,2.25879601446722,2.5,2.5,0.5,1.3,24528.0,7.26276995017102,1.90976806709735E-18,8.04061061265458E-19,4.16349520487962E-18,8.93763885037624E-19,9.55061801606107E-18,9.58137299066805E-19,25.8431445768396,0.0360025539436342
21596,149.840668642893,2.26306033893712,2.25,2.0,0.433012701892219,1.3,26265.0,7.261906432972090,3.29875835926836E-18,9.65005931463463E-19,2.71904911303925E-18,9.30983966699677E-19,9.1003714302306E-18,1.08595710099979E-18,25.7921613486962,0.0614291447132393
21606,149.840778944487,2.26311424744402,2.5,2.5,0.5,1.3,26278.0,7.260246289823360,1.13545061478653E-18,6.01622751225028E-19,2.52667052771208E-18,8.72513574687928E-19,4.71029259606184E-18,1.00604560654016E-18,26.4681666783835,0.0834247136081558
22071,149.875116983733,2.25411242897182,1.5,1.5,0.5,1.3,26803.0,7.704753304233960,2.16787453204993E-18,1.44295606614112E-18,3.32747493340532E-18,1.25384760014213E-18,6.73566828959575E-18,1.90600144275428E-18,25.5873394548224,0.0704507097252338
22542,149.877462791531,2.25722271138708,2.0,2.0,0.0,1.3,27338.0,6.8718740560264300,-99.0,-99.0,5.51465996390793E-18,1.381828435625E-18,1.34401743421333E-17,1.28190624629947E-18,25.4561390071532,0.0331974303591309
23171,149.839727909072,2.27550622969714,1.75,2.0,0.433012701892219,1.3,28062.0,7.488130818500340,1.57521957291008E-20,1.78208939216988E-19,5.47278749095221E-19,4.23343688234537E-19,3.78961294232087E-18,6.78348723840367E-19,26.4435143764255,0.0566323237336736
25046,149.834758695986,2.28963692088705,1.5,2.0,1.5,1.3,30191.0,7.488171353530540,5.22258662873271E-18,1.57470440414428E-18,1.12856388013315E-17,1.67641209443383E-18,3.50534073326504E-17,1.9657757194234E-18,24.362815939327,0.0327689715311339
25826,149.913465485668,2.26619298728523,2.25,2.0,0.433012701892219,1.3,31053.0,7.701606097548300,3.57819525681462E-18,1.18387372544864E-18,5.63524518993915E-18,1.04373710684497E-18,1.61697131649734E-17,1.5005082023837E-18,25.1049769076212,0.0253863598339628
27100,149.839779925205,2.30164991764164,2.75,3.0,0.433012701892219,1.3,32483.0,7.487705732026190,4.6329284565841E-18,1.042911556551E-18,9.96838250274364E-18,9.5696827638614E-19,3.57568788189655E-17,1.266908075495E-18,24.2730995613548,0.133988533632214
